ID,connected,Usage
0,False,Public
1,False,Public
2,False,Public
3,False,Public
4,False,Public
5,False,Public
6,False,Public
7,False,Public
8,False,Public
9,False,Public
10,False,Public
11,False,Public
12,False,Public
13,False,Public
14,False,Public
15,False,Public
16,False,Public
17,False,Public
18,False,Public
19,False,Public
20,False,Public
21,False,Public
22,False,Public
23,False,Public
24,False,Public
25,False,Public
26,False,Public
27,False,Public
28,False,Public
29,False,Public
30,False,Public
31,False,Public
32,False,Public
33,False,Public
34,False,Public
35,False,Public
36,False,Public
37,False,Public
38,False,Public
39,False,Public
40,False,Public
41,False,Public
42,False,Public
43,False,Public
44,False,Public
45,False,Public
46,False,Public
47,False,Public
48,False,Public
49,False,Public
50,False,Public
51,False,Public
52,False,Public
53,False,Public
54,False,Public
55,False,Public
56,False,Public
57,False,Public
58,False,Public
59,False,Public
60,False,Public
61,False,Public
62,False,Public
63,False,Public
64,False,Public
65,False,Public
66,False,Public
67,False,Public
68,False,Public
69,False,Public
70,False,Public
71,False,Public
72,False,Public
73,False,Public
74,False,Public
75,False,Public
76,False,Public
77,False,Public
78,False,Public
79,False,Public
80,False,Public
81,False,Public
82,False,Public
83,False,Public
84,False,Public
85,False,Public
86,False,Public
87,False,Public
88,False,Public
89,False,Public
90,False,Public
91,False,Public
92,False,Public
93,False,Public
94,False,Public
95,False,Public
96,False,Public
97,False,Public
98,False,Public
99,False,Public
100,False,Public
101,False,Public
102,False,Public
103,False,Public
104,False,Public
105,False,Public
106,False,Public
107,False,Public
108,False,Public
109,False,Public
110,False,Public
111,False,Public
112,False,Public
113,False,Public
114,False,Public
115,False,Public
116,False,Public
117,False,Public
118,False,Public
119,False,Public
120,False,Public
121,False,Public
122,False,Public
123,False,Public
124,False,Public
125,False,Public
126,False,Public
127,False,Public
128,False,Public
129,False,Public
130,False,Public
131,False,Public
132,False,Public
133,False,Public
134,False,Public
135,False,Public
136,False,Public
137,False,Public
138,False,Public
139,False,Public
140,False,Public
141,False,Public
142,False,Public
143,False,Public
144,False,Public
145,False,Public
146,False,Public
147,False,Public
148,False,Public
149,False,Public
150,False,Public
151,False,Public
152,False,Public
153,False,Public
154,False,Public
155,False,Public
156,False,Public
157,False,Public
158,False,Public
159,False,Public
160,False,Public
161,False,Public
162,False,Public
163,False,Public
164,False,Public
165,False,Public
166,False,Public
167,False,Public
168,False,Public
169,False,Public
170,False,Public
171,False,Public
172,False,Public
173,False,Public
174,False,Public
175,False,Public
176,False,Public
177,False,Public
178,False,Public
179,False,Public
180,False,Public
181,False,Public
182,False,Public
183,False,Public
184,False,Public
185,False,Public
186,False,Public
187,False,Public
188,False,Public
189,False,Public
190,False,Public
191,False,Public
192,False,Public
193,False,Public
194,False,Public
195,False,Public
196,False,Public
197,False,Public
198,False,Public
199,False,Public
200,False,Public
201,False,Public
202,False,Public
203,False,Public
204,False,Public
205,False,Public
206,False,Public
207,False,Public
208,False,Public
209,False,Public
210,False,Public
211,False,Public
212,False,Public
213,False,Public
214,False,Public
215,False,Public
216,False,Public
217,False,Public
218,False,Public
219,False,Public
220,False,Public
221,False,Public
222,False,Public
223,False,Public
224,False,Public
225,False,Public
226,False,Public
227,False,Public
228,False,Public
229,False,Public
230,False,Public
231,False,Public
232,False,Public
233,False,Public
234,False,Public
235,False,Public
236,False,Public
237,False,Public
238,False,Public
239,False,Public
240,False,Public
241,False,Public
242,False,Public
243,False,Public
244,False,Public
245,False,Public
246,False,Public
247,False,Public
248,False,Public
249,False,Public
250,False,Public
251,False,Public
252,False,Public
253,False,Public
254,False,Public
255,False,Public
256,False,Public
257,False,Public
258,False,Public
259,False,Public
260,False,Public
261,False,Public
262,False,Public
263,False,Public
264,False,Public
265,False,Public
266,False,Public
267,False,Public
268,False,Public
269,False,Public
270,False,Public
271,False,Public
272,False,Public
273,False,Public
274,False,Public
275,False,Public
