,Features,Importances
6,adp_dist,0.5075094844685235
26,RL_pre,0.07993960789179587
19,pre_nucleus_z,0.03769804978211966
11,pre_rf_x,0.03587677830098276
14,post_test_score,0.034786508745511306
21,post_nucleus_y,0.033917951335997225
8,pre_skeletal_distance_to_soma,0.03026997141470511
18,pre_nucleus_y,0.026624878437778013
28,V1_pre,0.01729432515518959
13,post_oracle,0.016789649052807887
29,RL_post,0.01642461306995603
10,pre_test_score,0.01496568151712126
7,post_skeletal_distance_to_soma,0.01285662268001794
34,area3,0.011916327495658427
33,area2,0.010397382368580416
16,post_rf_y,0.010015915505482871
20,post_nucleus_x,0.009779971342161626
15,post_rf_x,0.009346621188088025
32,area1,0.009129065000123936
22,post_nucleus_z,0.008571582881411645
12,pre_rf_y,0.008548065027770453
31,AL_post,0.008176671876842179
35,minicol_dist,0.007324541138361461
36,nuclei_adp_dist,0.006381255608836428
24,fw_similarity,0.005738860354337153
17,pre_nucleus_x,0.005723285787579078
25,rf_distance,0.005417911496924298
30,V1_post,0.005025176850081753
23,me_similarity,0.004800038149198913
27,AL_pre,0.003768285917618902
4,dendritic_coor_y,0.0018761968821532653
9,pre_oracle,0.0013596093073639831
2,axonal_coor_z,0.0007239103397076801
5,dendritic_coor_z,0.0005906596431068291
1,axonal_coor_y,0.00022330078295177856
3,dendritic_coor_x,0.00014157233909267082
0,axonal_coor_x,6.967086406022876e-05
