,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
0,0,"(0.1, 'l2')",0.7398223061576574,0.021874978597806946,0.0
1,1,"(0.6, 'l2')",0.7389113829890539,0.021550123783743953,0.0
2,2,"(1.1, 'l2')",0.7387456222631432,0.022558067117813132,0.0
3,3,"(1.6, 'l2')",0.7383756805133068,0.02123338435140949,0.0
4,6,"(3.1, 'l2')",0.7378215413050448,0.022605039274092284,0.0
5,7,"(3.6, 'l2')",0.7378159493886087,0.022584500320967652,0.0
6,5,"(2.6, 'l2')",0.7373114865165586,0.022472331798346606,0.0
7,4,"(2.1, 'l2')",0.7372634729047205,0.02249994858656853,0.0
8,8,"(4.1, 'l2')",0.7372132973266149,0.02247917980008434,0.0
9,9,"(4.6, 'l2')",0.7372107648873725,0.022467362850020888,0.0
10,10,"(5.1, 'l2')",0.7364898425229361,0.02305797367288646,0.0
11,11,"(5.6, 'l2')",0.7364844615298443,0.023058873443625144,0.0
12,12,"(6.1, 'l2')",0.7364785258465547,0.023065310631231482,0.0
13,17,"(8.6, 'l2')",0.7361532212337687,0.021970042999186448,0.0
14,19,"(9.6, 'l2')",0.7361421369338748,0.021944398280732594,0.0
15,18,"(9.1, 'l2')",0.7361277301233444,0.021945148732360448,0.0
16,14,"(7.1, 'l2')",0.7361217977775589,0.022879443775837057,0.0
17,15,"(7.6, 'l2')",0.7361147466896888,0.022848164547522833,0.0
18,13,"(6.6, 'l2')",0.7361131736254759,0.02290371640881585,0.0
19,16,"(8.1, 'l2')",0.7357924401941149,0.02270235266490042,0.0
