,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
0,106,"(100, 6, 7)",0.773917419715372,0.008084136651378148,0.008084136651378148
1,89,"(1000, 5, 9)",0.7733694695022326,0.005291531606597487,0.005291531606597487
2,109,"(1000, 6, 9)",0.7708481139218534,0.009727190921423146,0.009727190921423146
3,111,"(1000, 6, 11)",0.7706779080660858,0.006933623408777761,0.006933623408777761
4,112,"(100, 6, 13)",0.77050355321398,0.0045617922123813255,0.0045617922123813255
5,110,"(100, 6, 11)",0.7697620314558484,0.008477458641628991,0.008477458641628991
6,108,"(100, 6, 9)",0.7697546387091005,0.014216354272871755,0.014216354272871755
7,87,"(1000, 5, 7)",0.7696804698269233,0.008064220939648212,0.008064220939648212
8,115,"(1000, 6, 15)",0.7681443950042561,0.008196197508828877,0.008196197508828877
9,90,"(100, 5, 11)",0.7679111622180714,0.005046474183712838,0.005046474183712838
10,91,"(1000, 5, 11)",0.7677826840680194,0.005755437000976046,0.005755437000976046
11,113,"(1000, 6, 13)",0.7675446041832027,0.008545711590688322,0.008545711590688322
12,107,"(1000, 6, 7)",0.7673596783431871,0.012016029156862243,0.012016029156862243
13,132,"(100, 7, 13)",0.7671271157285126,0.012558623720319653,0.012558623720319653
14,92,"(100, 5, 13)",0.7669505566297556,0.006921684104450364,0.006921684104450364
15,94,"(100, 5, 15)",0.7660130107310823,0.002968257757823431,0.002968257757823431
16,114,"(100, 6, 15)",0.7652478997295145,0.010452394555851275,0.010452394555851275
17,88,"(100, 5, 9)",0.7648813507518593,0.014244745500019232,0.014244745500019232
18,133,"(1000, 7, 13)",0.7645147132036562,0.009006611937341882,0.009006611937341882
19,118,"(100, 6, 20)",0.763922127734914,0.0040421762436714135,0.0040421762436714135
20,93,"(1000, 5, 13)",0.7638422557700514,0.004256423632649556,0.004256423632649556
21,126,"(100, 7, 7)",0.763736650967245,0.01815970429575367,0.01815970429575367
22,117,"(1000, 6, 17)",0.7635657315601376,0.008610489835656187,0.008610489835656187
23,95,"(1000, 5, 15)",0.7635345838837493,0.005197386134710537,0.005197386134710537
24,134,"(100, 7, 15)",0.7635237694030174,0.007083884519486195,0.007083884519486195
25,116,"(100, 6, 17)",0.7635084357990323,0.007376708556117025,0.007376708556117025
26,85,"(1000, 5, 5)",0.7634374257066622,0.017544457415601115,0.017544457415601115
27,135,"(1000, 7, 15)",0.7629991872004936,0.007965358433922149,0.007965358433922149
