,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
0,480,"(3, 0.6000000000000001, 0.1)",0.770442662131294,0.0045757650884054755,0.0045757650884054755
1,570,"(3, 1.5, 0.1)",0.7696587207511905,0.0028832420099901292,0.0028832420099901292
2,550,"(3, 1.3, 0.1)",0.7696550488452111,0.00551953886383619,0.00551953886383619
3,470,"(3, 0.5, 0.1)",0.7687157980969348,0.003957389727225844,0.003957389727225844
4,580,"(3, 1.6, 0.1)",0.7680744354846176,0.005752862187894548,0.005752862187894548
5,192,"(1, 1.9000000000000001, 0.30000000000000004)",0.7676329918825131,0.003316329546455098,0.003316329546455098
6,202,"(1, 2.0, 0.30000000000000004)",0.7676328774543094,0.0033149683848175877,0.0033149683848175877
7,1,"(1, 0.0, 0.2)",0.7673675896534355,0.001700631513938885,0.001700631513938885
8,260,"(2, 0.5, 0.1)",0.7672204492124937,0.004469307543528114,0.004469307543528114
9,250,"(2, 0.4, 0.1)",0.7672204492124937,0.004469307543528114,0.004469307543528114
10,360,"(2, 1.5, 0.1)",0.7672172356476654,0.003653306475640072,0.003653306475640072
11,380,"(2, 1.7000000000000002, 0.1)",0.767216324087855,0.003655573264020155,0.003655573264020155
12,370,"(2, 1.6, 0.1)",0.7672128936738041,0.003651906263660233,0.003651906263660233
13,240,"(2, 0.30000000000000004, 0.1)",0.7671483083255852,0.004580624638027112,0.004580624638027112
14,350,"(2, 1.4000000000000001, 0.1)",0.7671260541965778,0.0036281558716356093,0.0036281558716356093
15,340,"(2, 1.3, 0.1)",0.7671173702488551,0.0036262298158873585,0.0036262298158873585
16,490,"(3, 0.7000000000000001, 0.1)",0.7670871411160302,0.007390414309218689,0.007390414309218689
17,220,"(2, 0.1, 0.1)",0.7670022149059396,0.004122403874987113,0.004122403874987113
18,81,"(1, 0.8, 0.2)",0.7669990171833343,0.0013587095317342131,0.0013587095317342131
19,182,"(1, 1.8, 0.30000000000000004)",0.7669821667660184,0.003848364952902999,0.003848364952902999
20,172,"(1, 1.7000000000000002, 0.30000000000000004)",0.7669821667660184,0.003848364952902999,0.003848364952902999
21,31,"(1, 0.30000000000000004, 0.2)",0.766978545261414,0.0014021327295595527,0.0014021327295595527
22,41,"(1, 0.4, 0.2)",0.766978545261414,0.0014021327295595527,0.0014021327295595527
23,21,"(1, 0.2, 0.2)",0.7669752428605685,0.0013976917439607656,0.0013976917439607656
24,11,"(1, 0.1, 0.2)",0.7669752428605685,0.0013976917439607656,0.0013976917439607656
25,152,"(1, 1.5, 0.30000000000000004)",0.7669694360212699,0.0038539672847773174,0.0038539672847773174
26,142,"(1, 1.4000000000000001, 0.30000000000000004)",0.7669694360212699,0.0038539672847773174,0.0038539672847773174
27,162,"(1, 1.6, 0.30000000000000004)",0.7669694360212699,0.0038539672847773174,0.0038539672847773174
28,12,"(1, 0.1, 0.30000000000000004)",0.7669692232007879,0.003852172505699784,0.003852172505699784
29,2,"(1, 0.0, 0.30000000000000004)",0.7669692232007879,0.003852172505699784,0.003852172505699784
30,91,"(1, 0.9, 0.2)",0.7669659931748801,0.0013141651442244438,0.0013141651442244438
31,101,"(1, 1.0, 0.2)",0.7669659931748801,0.0013141651442244438,0.0013141651442244438
32,112,"(1, 1.1, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
33,62,"(1, 0.6000000000000001, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
34,82,"(1, 0.8, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
35,72,"(1, 0.7000000000000001, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
36,122,"(1, 1.2000000000000002, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
37,92,"(1, 0.9, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
38,102,"(1, 1.0, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
39,52,"(1, 0.5, 0.30000000000000004)",0.7669657927867368,0.0038542561041707045,0.0038542561041707045
